job_title,org_name,salary_min,salary_max,director_flag,analyst_flag,scientist_flag,manager_flag,engineer_flag,url
DTI Team Director,Delaware Department of Technology and Information,99749,110000,1,,,,,https://www.linkedin.com/jobs/view/3593263357/
Data Engineer,NYC Planning,85000,100000,,,,,1,https://medium.com/nyc-planning-digital/were-hiring-data-engineer-nyc-planning-ef95a3490e0
(DATA) Business Intelligence Manager,City of Philadephia,85000,95000,,,,1,,https://jobs.smartrecruiters.com/CityofPhiladelphia/743999796865537--data-business-intelligence-manager
Data Scientist,Department of State,112015,145617,,,1,,,https://www.usajobs.gov/job/724980800
Senior Analyst (Data Analysis),Government Accountability Office,105306,147726,,1,,,,https://www.usajobs.gov/job/725415500
Product Manager (Data Products),City of Boston,77085,114228,,,,1,,https://city-boston.icims.com/jobs/25132/product-manager-%28data-products%29/job?hub=8&mobile=false&width=947&height=500&bga=true&needsRedirect=false&jan1offset=-300&jun1offset=-240
Manager Data Analytics,Metro Transit Authority,83981,110225,,,,1,,https://careers.mta.org/jobs/12248354-manager-data-analytics?tm_job=PS104080&amp;tm_event=view&amp;tm_company=47560&amp;bid=370
Director of Research and Analytics,State of New York,151901,154927,1,,,,,https://statejobs.ny.gov/public/vacancyDetailsView.cfm?id=134992
Director of Research and Data Analysis,Empire State Development,95000,100000,1,,,,,https://statejobsny.com/public/vacancyDetailsView.cfm?id=129051
Deputy Digital Director,Commonwealth of Pennsylvania,54181,82387,1,,,,,https://www.governmentjobs.com/careers/pabureau/jobs/newprint/3948036
Lead Data Scientist Analyst,Montgomery County Government,158000,158000,,,1,,,https://www.linkedin.com/jobs/view/3665997894/?refId=GRAOAe95FoGIiBAzbloc9A%3D%3D&trackingId=GRAOAe95FoGIiBAzbloc9A%3D%3D
Senior Data Scientist,Department of Health and Human Services,155700,183500,,,1,,,https://www.usajobs.gov/job/735621300
Senior Director Data Science,Metro Transit Authority,103345,135640,1,,,,,https://careers.mta.org/jobs/12248037-senior-director-data-science-ocso?tm_job=PS99674&amp;tm_event=view&amp;tm_company=47560&amp;bid=370
Data Privacy and Security Specialist,State of Colorado,83136,104580,,1,,,,https://www.governmentjobs.com/careers/colorado/jobs/newprint/4075480
Data Analyst,General Services Administration,116393,183500,,1,,,,https://www.usajobs.gov/job/736887500
Project Manager & Analytics Specialist III,City of Detroit,74896,93021,,1,,,,https://www.governmentjobs.com/jobs/newprint/4087827
Director of Data Services,Department of Labor,136908,183500,1,,,,,https://www.usajobs.gov/job/741336000
Data Scientist,Department of Homeland Security,115400,196000,,,1,,,https://www.usajobs.gov/job/737482500
Sr. IT Specialist (Business Analyst Researcher),Montgomery County Government,134000,134000,,1,,,,https://www.linkedin.com/jobs/view/3666003009/
Director of Agency Metrics,NYC Office of the Mayor,150000,210000,1,,,,,https://a002-oom03.nyc.gov/irm/Handlers/Campaign/Attachments.ashx?attachmentId=5b8ea079-c38e-4d2e-9a4a-85a90cceb94d
Assistant Director of Data Systems,Commonwealth of Massachusetts,75000,117000,1,,,,,https://www.linkedin.com/jobs/view/3678235338/
Product Data and Analytics Lead,New Jersey Office of Innovation,75000,100000,,1,,,,https://innovation.nj.gov/join/bizx-product-data-and-analytics-lead//
Director HR Data Science,Metro Transit Authority,117785,154593,1,,,,,https://careers.mta.org/jobs/12434721-director-hr-data-science?tm_job=664&amp;tm_event=view&amp;tm_company=47560&amp;bid=370
Interdisciplinary Data Scientist (Advanced Analytics),Government Accountability Office,105306,147726,,,1,,,https://www.usajobs.gov/job/744768200
Director of Data and Information Technology Management,NYS Department of Transportation,133000,169000,1,,,,,https://www.linkedin.com/jobs/view/3709836827/
Manager of Performance Data and Technology,MBTA,77000,102000,,,,1,,https://www.linkedin.com/jobs/view/3706898745/
Deputy Director of Lean Analytics,MBTA,,,1,,,,,https://www.linkedin.com/jobs/view/3706308675/
