,job_title,org_name,salary_min,salary_max,director_flag,analyst_flag,scientist_flag,manager_flag,engineer_flag,url,data_science,data_engineering,database_design,data_analysis,collaborate_stakeholders,data_quality,strong_communication,communication_skills,data_pipelines,unstructured_data,data_lake,data_model,data_scientist,data_requirements,team_management,data_manipulation,data_warehouse,machine_learning,sql,python,tableau,JobType
103,Business Analyst,City of Detroit,99000.0,150000.0,,1.0,,,,https://www.governmentjobs.com/careers/detroit/jobs/newprint/4219768,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,Data Analyst
104,Data Analyst,City of Detroit,99000.0,115000.0,,1.0,,,,https://www.governmentjobs.com/careers/detroit/jobs/newprint/4219784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Data Analyst
105,Data Scientist,Bureau of Labor Statistics,112015.0,145617.0,,,1.0,,,https://www.usajobs.gov/job/751540800,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,Data Scientist
106,Business Analyst,HOUSING PRESERVATION & DVLPMNT,93288.0,107281.0,,1.0,,,,https://cityjobs.nyc.gov/job/business-analyst-in-nyc-all-boros-jid-9502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
107,"Manager, System Administration",State of Colorado,99000.0,126000.0,,,,1.0,,https://www.governmentjobs.com/careers/colorado/jobs/newprint/4215526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manager
108,Co-Director of Data and Policy,New Jersey Office of Innovation,100000.0,100000.0,1.0,,,,,https://innovation.nj.gov/join/co-director-data-and-policy/,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
109,"Director, Research, Analytics & Evaluation (IDEA)",City of Philadephia,95000.0,110000.0,1.0,,,,,https://www.smartrecruiters.com/CityofPhiladelphia/743999930550374-director-research-analytics-evaluation-idea--,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Director
110,Business Intelligence Report Developer and Support Analyst,State of Connecticut,105606.0,131567.0,,1.0,,,,https://www.jobapscloud.com/CT/sup/bulpreview.asp?b=&R1=230907&R2=7604FR&R3=001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Data Analyst
111,Management and Program Analyst,Department of the Treasury,98458.0,183307.0,,1.0,,,,https://www.usajobs.gov/job/748745800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
112,Business Services Analyst,City of Tacoma,84073.0,118372.0,,1.0,,,,https://www.governmentjobs.com/careers/tacoma/jobs/newprint/4181673,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Data Analyst
113,Director of Analysis and Evaluation,Small Business Administration,155700.0,183500.0,1.0,,,,,https://www.usajobs.gov/job/753679800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
114,Research and Data Manager,City of Philadephia,75000.0,80000.0,,,,1.0,,https://www.smartrecruiters.com/CityofPhiladelphia/743999936827299-research-and-data-manager,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Manager
115,Data Analyst 3,NYS Office of General Services,100000.0,125000.0,,1.0,,,,https://www.linkedin.com/jobs/view/3737675359/,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,Data Analyst
116,Data Scientist,Office of Personnel Management,98496.0,158432.0,,,1.0,,,https://www.usajobs.gov/job/754459000,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,Data Scientist
117,Lead Management and Program Analyst,Department of the Treasury,149739.0,236357.0,,1.0,,,,https://www.usajobs.gov/job/755498300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Data Analyst
118,Senior Data Scientist,NYC Department of Transportation,103026.0,133630.0,,,1.0,,,https://cityjobs.nyc.gov/job/senior-data-scientist-in-manhattan-jid-151122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist
119,Project Manager Analytics Specialist IV,City of Detroit,91873.0,120496.0,,1.0,,,,https://www.governmentjobs.com/jobs/newprint/4247392,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
120,CHIEF DATA ANALYST,State of Rhode Island,127942.0,144912.0,,1.0,,,,https://www.governmentjobs.com/jobs/newprint/4258656,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Data Analyst
121,Senior Manager for Data Services,City of Cambridge,121144.0,133010.0,,,,1.0,,https://phe.tbe.taleo.net/phe02/ats/careers/v2/viewRequisition?org=CAMBRIDGEMA&cws=37&rid=559,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Manager
122,DIRECTOR OF SPECIAL PROJECTS REPORTING & ANALYTICS,NYC HRA DEPT OF SOCIAL SERVICES,103026.0,118480.0,1.0,,,,,https://cityjobs.nyc.gov/job/director-of-special-projects-reporting-and-analytics-in-manhattan-jid-16170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
123,Program Director,State of Colorado,97000.0,120000.0,1.0,,,,,https://www.governmentjobs.com/careers/colorado/jobs/newprint/4261988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
124,Data Engineer,State of Connecticut,120395.0,150906.0,,,,,1.0,https://www.jobapscloud.com/CT/sup/bulpreview.asp?b=&R1=231103&R2=7607FR&R3=100,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,Data Engineer
125,Deputy Director of Data Technology,NYC Office of the Mayor,40000.0,175000.0,1.0,,,,,https://a002-oom03.nyc.gov/IRM/Handlers/Campaign/Attachments.ashx?attachmentId=edffe936-9f55-4000-83ff-fc352f94b601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
126,Data Scientist,FEMA,78000.0,95000.0,,,1.0,,,https://www.linkedin.com/jobs/view/3760452003/,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Data Scientist
