,job_title,org_name,salary_min,salary_max,director_flag,analyst_flag,scientist_flag,manager_flag,engineer_flag,url,data_science,data_engineering,database_design,data_analysis,collaborate_stakeholders,data_quality,strong_communication,communication_skills,data_pipelines,unstructured_data,data_lake,data_model,data_scientist,data_requirements,team_management,data_manipulation,data_warehouse,machine_learning,sql,python,tableau,JobType
22,"Senior Manager, Data",Ontario Digital Service (ODS),90348.0,135178.0,,,,1.0,,https://docs.google.com/document/d/1KbygBXLv0wIhwx0BYG0MPIVUYm19b0lS/edit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manager
23,Information Technology Executive (Senior Business Analyst),Commonwealth of Pennsylvania,96626.0,146798.0,,1.0,,,,https://www.governmentjobs.com/careers/pabureau/jobs/newprint/4158606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Data Analyst
24,"Head of Quality, Analytics, and Infrastructure",Commonwealth of Pennsylvania,150000.0,160000.0,1.0,,,,,https://www.governmentjobs.com/careers/pabureau/jobs/newprint/3994784,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Director
25,Data Analyst and Economist,State of Colorado,75000.0,100000.0,,1.0,,,,https://www.governmentjobs.com/careers/colorado/jobs/newprint/4271314,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Data Analyst
26,Senior Director of Data Operations,State of Colorado,108000.0,155000.0,1.0,,,,,https://www.governmentjobs.com/careers/colorado/jobs/newprint/4276723,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
27,Director of Data Science,State of Colorado,86916.0,99960.0,1.0,,,,,https://www.governmentjobs.com/careers/colorado/jobs/newprint/4165915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Director
28,Digital Director,NYS Office of General Services,116000.0,148000.0,1.0,,,,,https://www.linkedin.com/jobs/view/3557143127/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
29,Director of Digital Experience,Franklin County Data Center,115000.0,166000.0,1.0,,,,,https://drive.google.com/file/d/1FJRX63Xn1Q0qq5UU_hpoOsgXMMGhF_jV/view,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
30,"Director, Artificial Intelligence and Machine Learning",New York City Office of Technology & Innovation,75000.0,140000.0,1.0,,,,,https://www.linkedin.com/jobs/view/3529277849/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Director
31,Research and Evaluation Practice Lead,City of Philadephia,75000.0,100000.0,,,,,,https://jobs.smartrecruiters.com/CityofPhiladelphia/743999899871273-research-and-evaluation-practice-lead,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
32,Digital Product Manager,City of Orlando,72675.0,96304.0,,,,1.0,,https://www.governmentjobs.com/careers/orlando/jobs/newprint/3935469,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Manager
33,Director of Data Services,Department of Labor,117518.0,183500.0,1.0,,,,,https://www.usajobs.gov/job/717728100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Director
